Reference,Value,Footprint,Quantity
U1,A3144,A3144_formed_P2.54mm,1
C1,100nF,Ceramic_P5.08mm,1
R1,10k,Axial_DIN0207_P10.16mm,1
D1,RED,LED_D5.0mm_P2.54mm,1
R9,1k,Axial_DIN0207_P10.16mm,1
D9,GREEN,LED_D5.0mm_P2.54mm,1
R17,1k,Axial_DIN0207_P10.16mm,1
U2,A3144,A3144_formed_P2.54mm,1
C2,100nF,Ceramic_P5.08mm,1
R2,10k,Axial_DIN0207_P10.16mm,1
D2,RED,LED_D5.0mm_P2.54mm,1
R10,1k,Axial_DIN0207_P10.16mm,1
D10,GREEN,LED_D5.0mm_P2.54mm,1
R18,1k,Axial_DIN0207_P10.16mm,1
U3,A3144,A3144_formed_P2.54mm,1
C3,100nF,Ceramic_P5.08mm,1
R3,10k,Axial_DIN0207_P10.16mm,1
D3,RED,LED_D5.0mm_P2.54mm,1
R11,1k,Axial_DIN0207_P10.16mm,1
D11,GREEN,LED_D5.0mm_P2.54mm,1
R19,1k,Axial_DIN0207_P10.16mm,1
U4,A3144,A3144_formed_P2.54mm,1
C4,100nF,Ceramic_P5.08mm,1
R4,10k,Axial_DIN0207_P10.16mm,1
D4,RED,LED_D5.0mm_P2.54mm,1
R12,1k,Axial_DIN0207_P10.16mm,1
D12,GREEN,LED_D5.0mm_P2.54mm,1
R20,1k,Axial_DIN0207_P10.16mm,1
U5,A3144,A3144_formed_P2.54mm,1
C5,100nF,Ceramic_P5.08mm,1
R5,10k,Axial_DIN0207_P10.16mm,1
D5,RED,LED_D5.0mm_P2.54mm,1
R13,1k,Axial_DIN0207_P10.16mm,1
D13,GREEN,LED_D5.0mm_P2.54mm,1
R21,1k,Axial_DIN0207_P10.16mm,1
U6,A3144,A3144_formed_P2.54mm,1
C6,100nF,Ceramic_P5.08mm,1
R6,10k,Axial_DIN0207_P10.16mm,1
D6,RED,LED_D5.0mm_P2.54mm,1
R14,1k,Axial_DIN0207_P10.16mm,1
D14,GREEN,LED_D5.0mm_P2.54mm,1
R22,1k,Axial_DIN0207_P10.16mm,1
U7,A3144,A3144_formed_P2.54mm,1
C7,100nF,Ceramic_P5.08mm,1
R7,10k,Axial_DIN0207_P10.16mm,1
D7,RED,LED_D5.0mm_P2.54mm,1
R15,1k,Axial_DIN0207_P10.16mm,1
D15,GREEN,LED_D5.0mm_P2.54mm,1
R23,1k,Axial_DIN0207_P10.16mm,1
U8,A3144,A3144_formed_P2.54mm,1
C8,100nF,Ceramic_P5.08mm,1
R8,10k,Axial_DIN0207_P10.16mm,1
D8,RED,LED_D5.0mm_P2.54mm,1
R16,1k,Axial_DIN0207_P10.16mm,1
D16,GREEN,LED_D5.0mm_P2.54mm,1
R24,1k,Axial_DIN0207_P10.16mm,1
U9,74HC165N,DIP16_W7.62mm,1
U10,TLC6C598,TSSOP16_PW_4.4x5mm_P0.65mm,1
U11,TLC6C598,TSSOP16_PW_4.4x5mm_P0.65mm,1
C9,100nF,Ceramic_P5.08mm,1
C10,100nF,Ceramic_P5.08mm_Vertical,1
C11,100nF,Ceramic_P5.08mm_Vertical,1
C12,10uF,Radial_D6.3mm_P2.5mm,1
R25,10k,Axial_DIN0207_P10.16mm,1
R26,10k,Axial_DIN0207_P10.16mm,1
R27,100k,Axial_DIN0207_P10.16mm,1
J1,ROW INTERFACE,Header_2x05_P2.54mm,1
J2,ROW INTERFACE,Header_2x05_P2.54mm,1
